Experiment,Split,learn-rate,AUCEvaluator
exp00000,0,0.1,0.5021022532033728
exp00000,1,0.1,0.5026172094762931
exp00000,2,0.1,0.5010487030208572
exp00000,3,0.1,0.5036632900698199
exp00000,4,0.1,0.501062625541318
exp00001,0,0.01,0.5021022532033728
exp00001,1,0.01,0.5026184651453176
exp00001,2,0.01,0.5015710747894523
exp00001,3,0.01,0.5020920154502923
exp00001,4,0.01,0.501062625541318
exp00002,0,0.001,0.5010568771857618
exp00002,1,0.001,0.5015709248887495
exp00002,2,0.001,0.5036603580646691
exp00002,3,0.001,0.5015674908524568
exp00002,4,0.001,0.5015719349740895
